InvoiceID,CustomerID,ProductSKU,Quantity,UnitPrice,InvoiceDate,AcquisitionChannel,TotalSpend,Year,Month,MonthPeriod,DayName,Hour
INV-100000,11167.0,PROD-001,6,19.99,2025-11-06 16:00:00,Mobile App,119.94,2025,11,2025-11,Thursday,16
INV-100001,14933.0,PROD-002,2,299.99,2026-02-24 13:00:00,Mobile App,599.98,2026,2,2026-02,Tuesday,13
INV-100002,14933.0,PROD-003,1,19.99,2025-04-21 10:00:00,Mobile App,19.99,2025,4,2025-04,Monday,10
INV-100003,12038.0,PROD-001,2,299.99,2025-05-03 10:00:00,Web,599.98,2025,5,2025-05,Saturday,10
INV-100004,14973.0,PROD-005,8,19.99,2026-01-15 16:00:00,Web,159.92,2026,1,2026-01,Thursday,16
INV-100006,13170.0,PROD-004,1,49.99,2025-05-11 19:00:00,Web,49.99,2025,5,2025-05,Sunday,19
INV-100007,12786.0,PROD-001,9,150.0,2025-07-30 19:00:00,Web,1350.0,2025,7,2025-07,Wednesday,19
INV-100008,10466.0,PROD-002,8,49.99,2025-01-23 14:00:00,B2B Portal,399.92,2025,1,2025-01,Thursday,14
INV-100010,12508.0,PROD-002,4,299.99,2025-02-28 14:00:00,B2B Portal,1199.96,2025,2,2025-02,Friday,14
INV-100011,12933.0,PROD-002,1,299.99,2026-03-02 10:00:00,Mobile App,299.99,2026,3,2026-03,Monday,10
INV-100012,12947.0,PROD-004,9,150.0,2025-12-21 15:00:00,Mobile App,1350.0,2025,12,2025-12,Sunday,15
INV-100013,13498.0,PROD-005,7,4.99,2025-02-05 09:00:00,Web,34.93,2025,2,2025-02,Wednesday,9
INV-100014,14809.0,PROD-003,2,49.99,2025-07-20 19:00:00,B2B Portal,99.98,2025,7,2025-07,Sunday,19
INV-100015,11757.0,PROD-004,6,49.99,2026-01-02 16:00:00,Web,299.94,2026,1,2026-01,Friday,16
INV-100016,11969.0,PROD-003,3,19.99,2025-05-12 08:00:00,Web,59.97,2025,5,2025-05,Monday,8
INV-100017,11484.0,PROD-002,8,4.99,2025-02-25 14:00:00,B2B Portal,39.92,2025,2,2025-02,Tuesday,14
INV-100018,10860.0,PROD-005,6,4.99,2025-03-11 17:00:00,Web,29.94,2025,3,2025-03,Tuesday,17
INV-100019,10784.0,PROD-002,9,19.99,2025-04-06 11:00:00,Web,179.91,2025,4,2025-04,Sunday,11
INV-100020,12237.0,PROD-005,1,299.99,2025-01-02 19:00:00,B2B Portal,299.99,2025,1,2025-01,Thursday,19
INV-100021,14735.0,PROD-001,6,4.99,2025-10-04 11:00:00,Web,29.94,2025,10,2025-10,Saturday,11
INV-100023,11685.0,PROD-005,2,19.99,2026-04-16 08:00:00,Web,39.98,2026,4,2026-04,Thursday,8
INV-100024,10716.0,PROD-002,7,19.99,2025-05-04 17:00:00,B2B Portal,139.92999999999998,2025,5,2025-05,Sunday,17
INV-100025,12433.0,PROD-004,5,299.99,2025-09-25 17:00:00,B2B Portal,1499.95,2025,9,2025-09,Thursday,17
INV-100026,11145.0,PROD-004,8,19.99,2025-03-26 18:00:00,Mobile App,159.92,2025,3,2025-03,Wednesday,18
INV-100027,10255.0,PROD-003,3,150.0,2025-09-09 15:00:00,B2B Portal,450.0,2025,9,2025-09,Tuesday,15
INV-100029,11243.0,PROD-005,8,49.99,2025-10-22 09:00:00,B2B Portal,399.92,2025,10,2025-10,Wednesday,9
INV-100030,12508.0,PROD-003,4,4.99,2026-02-28 15:00:00,Web,19.96,2026,2,2026-02,Saturday,15
INV-100031,13376.0,PROD-005,2,49.99,2026-01-31 18:00:00,Web,99.98,2026,1,2026-01,Saturday,18
INV-100032,13923.0,PROD-005,5,49.99,2025-07-14 08:00:00,B2B Portal,249.95000000000002,2025,7,2025-07,Monday,8
INV-100033,11012.0,PROD-001,1,4.99,2025-07-30 10:00:00,Mobile App,4.99,2025,7,2025-07,Wednesday,10
INV-100034,10470.0,PROD-001,8,19.99,2025-10-26 14:00:00,Web,159.92,2025,10,2025-10,Sunday,14
INV-100035,14846.0,PROD-003,4,150.0,2025-05-20 12:00:00,Web,600.0,2025,5,2025-05,Tuesday,12
INV-100036,14910.0,PROD-004,5,19.99,2026-05-02 16:00:00,Web,99.94999999999999,2026,5,2026-05,Saturday,16
INV-100037,10232.0,PROD-005,7,19.99,2025-04-26 16:00:00,Mobile App,139.92999999999998,2025,4,2025-04,Saturday,16
INV-100038,12485.0,PROD-002,7,299.99,2025-07-05 13:00:00,Web,2099.9300000000003,2025,7,2025-07,Saturday,13
INV-100039,10301.0,PROD-003,3,299.99,2026-03-22 14:00:00,Web,899.97,2026,3,2026-03,Sunday,14
INV-100041,13993.0,PROD-001,4,299.99,2025-09-10 09:00:00,Mobile App,1199.96,2025,9,2025-09,Wednesday,9
INV-100042,13627.0,PROD-001,5,19.99,2025-12-24 08:00:00,Mobile App,99.94999999999999,2025,12,2025-12,Wednesday,8
INV-100043,12061.0,PROD-001,5,299.99,2026-03-11 14:00:00,Web,1499.95,2026,3,2026-03,Wednesday,14
INV-100046,11358.0,PROD-004,6,150.0,2025-03-25 19:00:00,Web,900.0,2025,3,2025-03,Tuesday,19
INV-100048,11984.0,PROD-005,9,19.99,2025-04-13 19:00:00,Mobile App,179.91,2025,4,2025-04,Sunday,19
INV-100049,11167.0,PROD-003,6,299.99,2026-01-26 11:00:00,Mobile App,1799.94,2026,1,2026-01,Monday,11
INV-100050,11944.0,PROD-001,6,150.0,2025-06-12 11:00:00,B2B Portal,900.0,2025,6,2025-06,Thursday,11
INV-100051,12435.0,PROD-001,5,49.99,2025-09-05 16:00:00,Web,249.95000000000002,2025,9,2025-09,Friday,16
INV-100052,14178.0,PROD-002,7,49.99,2026-02-07 09:00:00,Web,349.93,2026,2,2026-02,Saturday,9
INV-100053,14496.0,PROD-002,6,4.99,2026-02-13 19:00:00,Mobile App,29.94,2026,2,2026-02,Friday,19
INV-100054,14185.0,PROD-001,8,19.99,2025-09-24 16:00:00,Web,159.92,2025,9,2025-09,Wednesday,16
